기준연도,시군명,연령대,성별,결제건수,결제금액,결제취소건수,결제취소금액,1회평균결제금액,총인구,총인구_남,총인구_여,내국인_세대수,내국인_총인구,내국인_남,내국인_여,등록외국인_총인구,등록외국인_남,등록외국인_여
2022,과천시,80대 이상,여,11091,21220.429,95.0,224.5675,1.9133,85177.0,41612.0,43565.0,30664.0,84921.0,41516.0,43405.0,256.0,96.0,160.0
2021,과천시,10대,남,27796,65828.5251,191.0,922.7596,2.3683,85177.0,41612.0,43565.0,30664.0,84921.0,41516.0,43405.0,256.0,96.0,160.0
2021,과천시,10대,여,25118,57521.9541,187.0,706.536,2.2901,85177.0,41612.0,43565.0,30664.0,84921.0,41516.0,43405.0,256.0,96.0,160.0
2021,과천시,20대,남,121184,199912.6503,953.0,4214.8133,1.6497,85177.0,41612.0,43565.0,30664.0,84921.0,41516.0,43405.0,256.0,96.0,160.0
2021,과천시,20대,여,115843,215741.0384,1023.0,3834.4679,1.8624,85177.0,41612.0,43565.0,30664.0,84921.0,41516.0,43405.0,256.0,96.0,160.0
2021,과천시,30대,남,137209,279714.5532,1487.0,10238.264,2.0386,85177.0,41612.0,43565.0,30664.0,84921.0,41516.0,43405.0,256.0,96.0,160.0
2021,과천시,30대,여,195432,426075.8776,1928.0,9173.1063,2.1802,85177.0,41612.0,43565.0,30664.0,84921.0,41516.0,43405.0,256.0,96.0,160.0
2021,과천시,40대,남,213371,548440.5434,1991.0,11320.4283,2.5704,85177.0,41612.0,43565.0,30664.0,84921.0,41516.0,43405.0,256.0,96.0,160.0
2021,과천시,40대,여,318752,780744.8665,2811.0,12413.5086,2.4494,85177.0,41612.0,43565.0,30664.0,84921.0,41516.0,43405.0,256.0,96.0,160.0
2021,과천시,50대,남,163884,367260.7003,1661.0,7586.6072,2.241,85177.0,41612.0,43565.0,30664.0,84921.0,41516.0,43405.0,256.0,96.0,160.0
2021,과천시,50대,여,234044,507026.8245,2473.0,9357.8437,2.1664,85177.0,41612.0,43565.0,30664.0,84921.0,41516.0,43405.0,256.0,96.0,160.0
2021,과천시,60대,남,86227,165530.1834,857.0,3914.4266,1.9197,85177.0,41612.0,43565.0,30664.0,84921.0,41516.0,43405.0,256.0,96.0,160.0
2021,과천시,60대,여,100652,214223.4642,1369.0,5337.6643,2.1284,85177.0,41612.0,43565.0,30664.0,84921.0,41516.0,43405.0,256.0,96.0,160.0
2021,과천시,70대,남,18981,36927.4296,193.0,725.0784,1.9455,85177.0,41612.0,43565.0,30664.0,84921.0,41516.0,43405.0,256.0,96.0,160.0
2021,과천시,70대,여,26301,55458.8235,339.0,110.6214,2.1086,85177.0,41612.0,43565.0,30664.0,84921.0,41516.0,43405.0,256.0,96.0,160.0
2021,과천시,80대 이상,남,5033,10987.0055,78.0,281.4592,2.183,85177.0,41612.0,43565.0,30664.0,84921.0,41516.0,43405.0,256.0,96.0,160.0
